filename,zcr,rms,temporal_centroid,duration,spec_centroid,spec_bandwidth,rolloff,flatness,dom_freq,spec_energy,spec_entropy,crest_factor,skewness,kurtosis,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,fft_coeff_1,fft_coeff_2,fft_coeff_3,fft_coeff_4,fft_coeff_5,fft_coeff_6,fft_coeff_7,fft_coeff_8,fft_coeff_9,fft_coeff_10,label
sam306_vib2.wav,0.05166015625,0.017898595,0.03362282148077363,0.1,2751.2821315248066,2375.741445668652,5383.30078125,0.023311643,0.0,1488.2092,8.936324,7.4664397,-1.5945490598678589,7.7402744,-276.4651,57.333294,-23.295874,63.905384,-4.9732103,21.180426,4.9000835,18.45878,2.3904314,-1.9869648,4.3363047,-2.1767268,7.4500074,0.58077586,0.74793833,0.799477,0.7047673,0.7333443,0.7017946,0.68672884,0.6644055,0.67763174,0.716123,0.46651068,0.57416445,3.0516746,3.3723328,3.4551408,3.4767196,4.435917,4.501173,4.5688334,6.012137,13.463326,28.65521,1
sam306_vib3.wav,0.04404296875,0.022131965,0.029726847030345383,0.1,2825.936203885839,2474.128623933417,5717.0654296875,0.029853469,0.0,2112.5317,8.990609,6.189412,-1.986014723777771,7.3763905,-263.8968,53.76825,-16.809643,61.30017,-4.127568,18.120958,3.973125,19.254997,0.2583394,1.4860818,2.404647,1.4322067,12.2085,0.7214413,0.8643122,0.7517304,0.75026894,0.8476256,0.6869254,0.82485044,0.85275984,0.72851115,0.6880971,0.7261396,0.71262413,3.7643719,3.9594588,3.968615,4.1937933,4.618256,6.9429007,7.2221313,9.819033,20.983637,30.20517,1
sam306_vib4.wav,0.04189453125,0.02125679,0.024801421492268026,0.1,2800.713949172012,2418.442345444231,5553.4130859375,0.026489299,0.0,1902.3934,9.07667,8.416693,-2.829355478286743,13.604179,-265.20715,55.15138,-18.355906,62.457886,-4.533353,18.672684,4.4936876,18.742367,-2.8022125,2.219597,3.0602498,0.6569283,6.4528656,0.5624115,0.6375596,0.6980352,0.7688428,0.8778596,0.7036611,0.58810806,0.69384736,0.7493766,0.5704129,0.5015551,0.5915205,4.6410327,4.6767945,4.682057,4.8544846,5.584257,6.0671163,7.5972457,12.930175,18.640379,24.28707,1
sam306_vib5.wav,0.07197265625,0.01412078,0.030560068849474008,0.1,2891.6400783873787,2397.9786943614317,5549.1064453125,0.036385704,0.0,844.9581,9.103111,4.686966,-0.9103192687034607,3.334072,-283.9139,55.85726,-17.123953,63.827576,-8.2984085,16.550373,-0.34658527,19.33822,5.1686354,3.1428392,0.73994285,-2.1889224,7.0191298,0.627486,0.751416,0.6581618,0.7587787,0.922136,0.73887986,0.7632934,0.79750293,0.66921914,0.6556946,0.5802677,0.57211834,2.4976406,2.746868,2.8597748,2.9515517,2.9888864,3.3049052,3.7597203,5.4090886,11.968493,18.572903,1
sam306_vib6.wav,0.01103515625,0.037373506,0.03859816303415443,0.1,2364.555289895453,2499.5097426959123,5247.6416015625,0.009186188,0.0,6548.3696,8.365625,4.2796664,-2.138770341873169,5.8476,-265.4797,54.888874,-13.254153,64.38375,1.5003487,21.878582,3.5542114,19.334986,6.1687255,6.543489,4.7548466,2.321634,8.00292,0.84132737,0.8881704,0.8798318,0.9505621,0.86516637,0.8068846,0.8648861,0.79770494,0.82319593,0.8285238,0.72753423,0.76438385,5.286008,5.3106036,6.1033826,8.191217,8.559726,8.827548,15.208609,24.16408,31.021542,63.284996,1
sam307_vib1.wav,0.0431640625,0.023699304,0.02726698257276518,0.1,2544.5194147564507,2354.7290042333975,5086.142578125,0.026605958,0.0,2319.4045,8.956226,7.499168,-2.5819480419158936,11.31968,-250.5311,67.7214,-14.57491,65.14475,-6.0172815,5.0016823,2.8007214,22.309055,3.3121006,4.5518675,4.1644373,-0.20765491,5.6142907,0.63472974,0.738881,0.77458006,0.86638576,0.67847335,0.7723223,0.9126544,0.7102424,0.5293033,0.70872235,0.66093045,0.65503347,4.8072658,4.8457403,5.105031,5.241876,5.671,5.7149754,10.626683,12.09014,21.518505,27.052906,1
sam307_vib2.wav,0.04306640625,0.028475424,0.03456678099891951,0.1,2380.7581177832412,2307.3100348585676,4642.55859375,0.017610399,0.0,3804.7515,8.5797,2.9740252,-0.5162967443466187,0.44558048,-260.93536,72.32662,-24.803385,59.632885,-6.4486594,10.767576,7.2273293,15.496462,5.5123835,9.3519945,0.7436169,-1.152611,7.7481623,0.6960264,0.7454945,0.73433024,0.6080013,0.5733961,0.7079828,1.0,0.7754734,0.65142196,0.8053236,0.62373674,0.6283088,3.6903563,3.9312105,4.245459,4.528333,4.7250113,4.897368,6.3497896,6.740716,29.114714,48.831543,1
sam307_vib3.wav,0.06142578125,0.024388494,0.03970365284524375,0.1,2485.8276560467484,2346.23855117028,5075.3759765625,0.016184388,0.0,2807.7878,8.621423,3.3171263,0.011591598391532898,-0.5460255,-271.27228,61.014355,-21.636356,65.27831,-5.4910803,14.34155,4.6399565,22.530874,6.576744,5.2583346,2.6370916,1.8452896,7.1665697,0.6547243,0.76818395,0.70877945,0.7563917,0.884223,0.920633,0.8757784,0.72087,0.87090254,0.89533126,0.6406327,0.6317421,2.851942,2.8742747,4.559587,5.0748925,8.702772,9.552257,9.751658,11.135965,17.90402,41.82035,1
sam307_vib4.wav,0.04033203125,0.020810861,0.030261504464287582,0.1,2576.049545629263,2461.752810015565,5314.39453125,0.02467238,0.0,1907.0844,8.844225,4.878742,-1.3727803230285645,4.0421433,-277.13614,63.689857,-9.936714,63.87789,-2.8043103,12.754348,-0.09642649,13.957199,1.5544143,2.8568454,4.2142477,1.8200104,7.898706,0.6271131,0.6578617,0.53924143,0.69726974,0.68753135,0.66774225,0.6958946,0.652133,0.6934242,0.78715277,0.82964593,0.6252426,2.6867917,3.055009,3.2153738,3.607214,6.5038033,7.144515,7.7639947,10.671574,20.516113,29.76567,1
sam307_vib5.wav,0.0373046875,0.022172794,0.035010122474431526,0.1,2522.1812894869327,2386.789643555983,5217.4951171875,0.013633546,0.0,2411.2454,8.54949,3.5644307,-0.8885756134986877,1.5098577,-286.04095,60.55343,-21.15801,67.15285,-2.2345314,23.140482,4.274302,21.920765,-0.39278212,4.055369,3.1099198,2.1177769,8.6652975,0.70527476,0.77545065,0.8155104,0.9369283,0.756994,0.74962026,0.5986404,0.5294044,0.7907363,0.742169,0.40301314,0.5024518,3.2912664,3.3388488,3.6661615,3.7178848,3.850276,5.1223164,6.988271,9.867655,19.665913,39.38561,1
